G88 G108 G139 G159 G265 G350 G351 G403 G410 G424 G428 G430 G630 G763 G765 G766 G768 G772 G801 G870 G915 G932 G991 G992 G997 G1002 G1061 G1062 G1063 G1066
G430 -0.249735637153529 -0.134093170322602 -0.134093170322602 -0.0406415552349058 -0.0889821900182848 -0.150970719535764 0.132197050596183 0.109068557229998 0.148866235004245 0.0532267894629903 0.238463101197577 2.01706507753776 -0.254944757281048 -0.324538602184705 -0.218272551583313 -0.175557766537655 -0.215147079506801 -0.20660412249767 0.049684587776278 -0.0578316516557194 -0.023243094008991 0.0905240895760292 -0.183892358741686 -0.224627678138886 -0.143261221747036 -0.113465054617626 0.0690625146506498 -0.110339582541114 -0.000948059863208679 0.143032020461423
G630 -0.0901281964463395 -0.168264998359128 -0.168264998359128 -0.087315271577479 0.00186486500565144 -0.116382161889036 -0.0332446046538282 -0.275156143375823 -0.229107521448553 -0.14972053070516 -0.183267264326384 -0.254944757281048 2.38628751217632 0.260133040928058 -0.358710430221231 -0.366003198399759 -0.393090623062858 -0.30953633621745 0.428075073839278 -0.0357449823150378 0.0113454636377367 0.0188465966213645 -0.0555396387996111 0.0662495897817892 -0.0336613342640301 0.446202811883045 -0.0838772522933158 0.0117621932479382 -0.0163670554406657 -0.222439847685329
G763 -0.378505086705805 -0.350375838017201 -0.350375838017201 -0.481958212438336 -0.430283740773346 -0.279740169088038 -0.309119606607248 -0.0822103338525098 -0.229940980668956 -0.0880445483953312 -0.102838449557486 -0.324538602184705 0.260133040928058 2.34711492881737 1.11567893067183 0.858348396372372 1.23132139750275 0.889811481942587 -0.304118851284829 -0.23660865443218 -0.139510655255221 -0.38829823254554 -0.612707127639071 -0.572180173046971 -0.334540112829542 0.245339139765904 -0.284740924410457 -0.276614697011529 -0.104713732803393 -0.285782748435962
G765 -0.272239036104412 -0.331623005558132 -0.331623005558132 -0.331935552765783 -0.361523355090092 -0.148470341874556 -0.165347891087718 -0.113465054617626 -0.148678706679656 -0.106797380854401 -0.0465799521802779 -0.218272551583313 -0.358710430221231 1.11567893067183 1.82203561996344 1.31466731954306 1.10005157028927 0.858556761177472 -0.272864130519715 -0.242859598585204 -0.133259711102198 -0.319537846862286 -0.518942965343725 -0.597183949659064 -0.215772173922104 -0.373504331383385 -0.190976762115112 -0.207854311328275 -0.0984627886503702 -0.104505367998293
G766 -0.279531804282939 -0.36391955034875 -0.36391955034875 -0.357981153403379 -0.281302905126296 -0.218272551583312 -0.185142547572291 -0.0332446046538284 -0.143469586552137 -0.0890863724208349 -0.128884050195083 -0.175557766537655 -0.366003198399759 0.858348396372372 1.31466731954306 1.78244630699429 0.892728589214 1.01378854097755 -0.280156898698242 -0.262654255069777 -0.0905449260565412 -0.189309843674306 -0.513733845216205 -0.579472941225499 -0.135551723958307 -0.268280104807496 -0.135760088763408 -0.227648967812848 -0.143261221747036 -0.0492886946465882
G768 -0.369128670476271 -0.340999421787667 -0.340999421787667 -0.46633085205578 -0.383401659625673 -0.282865641164551 -0.224731860541437 0.0146793005193488 -0.0455381281547735 -0.00365680232951855 0.00655307312041854 -0.215147079506801 -0.393090623062858 1.23132139750275 1.10005157028927 0.892728589214 2.0283167770132 1.3242521005777 -0.232232993525064 -0.289741679732876 -0.117632350719641 -0.278906709867637 -0.578326934797444 -0.650316974959759 -0.262654255069777 -0.38288074761292 -0.237858843262786 -0.217230727557809 -0.0703335399617658 -0.213896890676197
G772 -0.285574383630861 -0.419969682920858 -0.419969682920858 -0.470289783352694 -0.374858702616542 -0.199311354319143 -0.278698345062536 -0.0392871840017509 -0.137010277594013 0.0298899312917053 -0.134926629543005 -0.20660412249767 -0.30953633621745 0.889811481942587 0.858556761177472 1.01378854097755 1.3242521005777 1.98289324950123 -0.273697589740117 -0.33120627594793 -0.0965875054044639 -0.245359976246414 -0.269738658443204 -0.347979642758542 -0.266613186366692 -0.324330237379604 -0.104297003193191 -0.283699100384955 -0.0742924712586807 -0.205353933667066
G801 -0.154304556417377 -0.0386620895864484 -0.0386620895864484 0.0485385813482236 -0.0560605508123628 0.207000015627361 0.240130019638383 -0.00803246323663483 -0.13075933344099 -0.163889337452012 0.0463507508946657 0.049684587776278 0.428075073839278 -0.304118851284829 -0.272864130519715 -0.280156898698242 -0.232232993525064 -0.273697589740117 1.95788947288914 0.0125956524683408 -0.0528308963333008 0.26096650014846 -0.300993379208318 -0.310473977840403 -0.0978376942350675 -0.143052856941936 -0.0605403941220296 -0.164931161477516 -0.0180339738814718 -0.149095436289858
G870 0.200749071474338 0.078855660490386 0.078855660490386 0.122299722353896 -0.0260560188778516 0.262008324173965 0.00759489714592295 -0.315578915565372 -0.0820019690474089 -0.208896135353779 -0.161180594985702 -0.0578316516557194 -0.0357449823150378 -0.23660865443218 -0.242859598585204 -0.262654255069777 -0.289741679732876 -0.33120627594793 0.0125956524683408 2.0304004250642 0.189705736803995 0.0284313776559995 -0.045954857764976 -0.0741882888561304 -0.142844492136834 -0.0505388834771928 -0.130550968635889 0.0901073599658277 -0.213063431455793 -0.194102234191624
G915 0.135322522672694 -0.0490803298414878 -0.0490803298414878 -0.130655151038439 -0.266509003964141 0.184079887066275 0.029681566486604 -0.0684582567158588 -0.141177573696028 -0.0242849180344953 0.135947617087997 -0.023243094008991 0.0113454636377367 -0.139510655255221 -0.133259711102198 -0.0905449260565412 -0.117632350719641 -0.0965875054044639 -0.0528308963333008 0.189705736803995 1.86204166254278 -0.0119913945335495 -0.223898401321034 -0.233378999953119 0.00426106026431019 -0.190976762115112 -0.0834605226831143 -0.175349401732554 -0.16597298550302 -0.084502346708618
